accuracy,loss,val_accuracy,val_loss
0.6447033882141113,1.3294299840927124,0.878156840801239,0.4964970648288727
0.8477300405502319,0.5443649888038635,0.8980948328971863,0.3833613395690918
0.8774991631507874,0.4213198721408844,0.9034116268157959,0.34022727608680725
0.8983762264251709,0.3501265048980713,0.9082853198051453,0.31785646080970764
0.910250723361969,0.30949169397354126,0.9120513796806335,0.3042144477367401
0.9189771413803101,0.27346691489219666,0.9120513796806335,0.29351770877838135
0.9254943132400513,0.24917863309383392,0.9149312973022461,0.2885374426841736
0.9354910254478455,0.22046531736850739,0.9193620085716248,0.2785475552082062
0.9386391043663025,0.20615912973880768,0.918475866317749,0.27556130290031433
0.9460952281951904,0.18424463272094727,0.9173681735992432,0.2723338305950165
0.9492985606193542,0.1717919558286667,0.9198050498962402,0.266757071018219
0.953330397605896,0.1569807380437851,0.9189189076423645,0.2695181369781494
0.9585772752761841,0.14073140919208527,0.9169251322746277,0.26752588152885437
0.963437557220459,0.1308942437171936,0.9191404581069946,0.26773688197135925
0.9667513370513916,0.11738073825836182,0.9182543158531189,0.27486634254455566
0.9690157771110535,0.10897959768772125,0.9200266003608704,0.26495540142059326
0.9736551642417908,0.09835889935493469,0.9180327653884888,0.26701411604881287
0.972661018371582,0.09555571526288986,0.9202480912208557,0.27022308111190796
0.977134644985199,0.08492321521043777,0.9200266003608704,0.26679253578186035
0.9779078960418701,0.0789383128285408,0.9213557839393616,0.267556369304657
0.9808350801467896,0.07335527241230011,0.9153743982315063,0.276712566614151
