accuracy,loss,val_accuracy,val_loss
0.14384394884109497,2.9632439613342285,0.33112290501594543,2.6530659198760986
0.29951369762420654,2.404752254486084,0.43457117676734924,2.0569095611572266
0.4211980402469635,1.9909430742263794,0.5039787888526917,1.7612470388412476
0.525033175945282,1.6086881160736084,0.5495136976242065,1.5747451782226562
0.6247236728668213,1.2678641080856323,0.5839964747428894,1.4852373600006104
0.7112621665000916,0.9568328857421875,0.581122875213623,1.4763628244400024
0.7812223434448242,0.7205879092216492,0.5912908911705017,1.4908033609390259
0.8394120335578918,0.5173004865646362,0.5999115705490112,1.5347938537597656
0.8696949481964111,0.41301846504211426,0.6012378334999084,1.6458494663238525
0.8945070505142212,0.3345545828342438,0.5965959429740906,1.688157320022583
0.9110300540924072,0.28001633286476135,0.6072059869766235,1.7320566177368164
0.9254531264305115,0.23974815011024475,0.6087533235549927,1.7692903280258179
0.9304265975952148,0.2140018790960312,0.6107426881790161,1.7381953001022339
0.9386605024337769,0.18520475924015045,0.604774534702301,1.841635823249817
0.9454023241996765,0.16818219423294067,0.5948275923728943,2.0983123779296875
0.9488284587860107,0.15493211150169373,0.6065428853034973,1.9889130592346191
